Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
03,2013-14,23098,860,1483,1532,1391,1457,1489,1334,1432,1371,1427,2467,2444,2310,2101,12307,0.532816708,10791,0.467183292,1809,0.078318469,5825,0.252186328,8106,0.350939482,691,0.029916011,6667,0.288639694,3634,0.157329634,1394,0.060351547,12307,0.532816708,
03,2014-15,22920,986,1507,1501,1432,1356,1423,1456,1351,1390,1354,2290,2473,2135,2266,12266,0.535165787,10654,0.464834213,1786,0.077923208,5476,0.238917977,7947,0.346727759,838,0.036561955,6873,0.29986912,3806,0.166055843,1267,0.055279233,11688,0.509947658,0.472747862
03,2015-16,22866,1106,1476,1511,1447,1401,1293,1398,1469,1333,1371,2377,2436,2164,2084,12245,0.535511255,10621,0.464488775,1766,0.077232569,5326,0.232922241,7742,0.338581294,972,0.042508528,7060,0.308755368,3900,0.170558915,1176,0.051430073,11137,0.487055004,0.457709134
03,2016-17,22706,1084,1405,1511,1462,1436,1360,1289,1484,1426,1305,2284,2501,2123,2036,12173,0.536113799,10532,0.463842154,1824,0.080331191,5144,0.226548046,7477,0.329296231,1135,0.049986787,7126,0.313837767,3977,0.175151944,1170,0.05152823,10827,0.476834327,0.445280671
03,2017-18,22667,1144,1295,1388,1442,1437,1401,1361,1390,1464,1427,2353,2370,2234,1961,12192,0.53787446,10465,0.461684376,1875,0.082719371,4873,0.214982137,7332,0.323465824,1238,0.054616842,7349,0.324215829,3877,0.171041608,1136,0.050116912,11093,0.489389867,0.49368602
04,2013-14,14265,1050,1027,1094,1105,1083,1067,1072,1050,1038,1076,1068,985,765,785,7322,0.513284266,6943,0.486715734,921,0.064563617,3815,0.267437786,8799,0.616824389,221,0.015492464,509,0.035681739,3274,0.229512796,1509,0.105783388,11619,0.814511061,
04,2014-15,14220,1086,993,1076,1090,1081,1075,1041,1052,1041,1035,1034,1012,850,754,7257,0.510337532,6963,0.489662439,954,0.067088604,3729,0.262236297,8731,0.61399436,242,0.017018285,564,0.039662447,3307,0.23255977,1491,0.104852319,11433,0.804008424,0.77448225
04,2015-16,13946,989,988,1024,1034,1043,1035,1054,996,1040,1041,990,1005,889,818,7153,0.512906909,6793,0.487093061,989,0.070916392,3560,0.255270332,8501,0.609565496,296,0.021224724,600,0.043023091,3343,0.239710316,1389,0.099598452,11188,0.802237213,0.769614398
04,2016-17,13568,941,922,1004,1019,1008,1010,1022,984,970,1003,974,926,900,885,6905,0.508918047,6663,0.491081953,1035,0.076282427,3325,0.245061904,8263,0.609006464,321,0.023658609,624,0.045990568,3212,0.236733496,1416,0.10436321,10833,0.798422754,0.756919205
04,2017-18,13230,889,831,918,978,1002,990,978,1001,972,962,966,1012,856,875,6740,0.50944823,6487,0.490325034,1078,0.081481479,3196,0.241572186,7985,0.60355252,356,0.026908541,615,0.04648526,3114,0.235374153,1369,0.103476949,10835,0.818972051,0.823726654
05,2013-14,13150,1178,840,849,878,916,858,759,849,917,960,1233,1099,899,915,6385,0.485551327,6765,0.514448643,397,0.030190114,6920,0.526235759,5142,0.391026616,216,0.016425855,475,0.036121674,2576,0.195893541,1297,0.098631181,11069,0.841749072,
05,2014-15,12943,1349,818,870,852,867,875,805,797,868,935,1106,1060,862,879,6254,0.483195543,6689,0.516804457,427,0.032990806,6685,0.516495407,5078,0.392335624,244,0.018851889,509,0.039326277,2623,0.202657804,1154,0.089160167,10677,0.824924648,0.777588904
05,2015-16,12440,1175,814,860,859,805,867,799,779,770,890,1015,983,951,873,6008,0.482958198,6432,0.517041802,449,0.036093246,6204,0.498713821,4979,0.400241166,267,0.021463022,541,0.043488745,2614,0.21012862,1094,0.087942123,10186,0.818810284,0.772433698
05,2016-17,11966,1113,721,797,810,839,797,760,782,769,780,1096,947,859,896,5687,0.475263238,6279,0.524736762,456,0.038107973,5943,0.496657193,4755,0.397375911,284,0.023733912,528,0.044125021,2689,0.224720046,1055,0.088166475,9788,0.817984283,0.764903128
05,2017-18,11632,1033,677,728,753,805,829,785,740,785,782,1054,1000,802,859,5491,0.472059846,6139,0.527768254,458,0.039374139,5708,0.490715265,4570,0.392881691,321,0.027596286,575,0.049432598,2635,0.226530269,1059,0.091041952,9568,0.822558463,0.829913616
06,2013-14,25091,1394,2007,2195,2095,2094,2117,1775,1678,1908,2038,1717,1542,1102,1429,12160,0.484635919,12931,0.515364051,291,0.011597784,1883,0.07504683,21811,0.869275808,163,0.006496353,943,0.037583198,4119,0.164162442,7678,0.306006134,21546,0.858714283,
06,2014-15,24817,1859,1953,2001,2090,2008,2058,1714,1736,1763,1893,1763,1506,1174,1299,12100,0.487569004,12717,0.512430966,297,0.011967603,1851,0.074585967,21467,0.865011871,169,0.006809848,1033,0.041624691,4233,0.170568556,7117,0.286779225,20945,0.843977928,0.776645064
06,2015-16,24419,1986,1916,1983,1933,2005,1983,1676,1669,1755,1796,1775,1515,1109,1318,11896,0.487161636,12523,0.512838364,301,0.012326467,1806,0.073958799,21024,0.860968947,187,0.007657971,1101,0.04508784,4484,0.183627501,6579,0.269421339,20288,0.830828428,0.764513135
06,2016-17,23639,1800,1755,1865,1914,1856,1928,1724,1551,1697,1832,1713,1572,1188,1244,11574,0.489614606,12065,0.510385394,327,0.013833072,1745,0.073818691,20180,0.853673995,231,0.009771987,1156,0.04890224,4555,0.192690045,6565,0.277719021,19387,0.820127726,0.755748451
06,2017-18,22701,1727,1552,1730,1763,1865,1788,1700,1530,1583,1745,1694,1391,1197,1436,11192,0.493017942,11508,0.50693804,319,0.014052245,1608,0.070833884,19316,0.850887597,258,0.011365138,1200,0.052861106,4343,0.191313162,6247,0.275186121,19348,0.852297246,0.834962308
07,2013-14,20195,1161,1265,1367,1342,1358,1300,1292,1343,1347,1315,2135,1913,1515,1542,9507,0.470760077,10688,0.529239893,230,0.011388958,5501,0.27239415,14093,0.697845995,177,0.008764545,194,0.009606338,4450,0.220351577,3478,0.172220841,18596,0.920821965,
07,2014-15,20696,1477,1326,1353,1343,1277,1348,1268,1264,1347,1337,2177,2140,1435,1604,9733,0.470284104,10963,0.529715896,247,0.011934673,5593,0.270245463,14378,0.694723606,162,0.0078276,316,0.015268651,4513,0.218061462,3458,0.167085424,18947,0.915490925,0.865130067
07,2015-16,20596,1429,1332,1377,1304,1273,1240,1343,1143,1271,1337,2073,2139,1619,1716,9667,0.469362974,10929,0.530637026,228,0.011070111,5522,0.268110305,14382,0.698290944,176,0.008545348,288,0.013983298,4807,0.233394831,3342,0.162264511,18863,0.915857434,0.858178556
07,2016-17,19877,1341,1183,1336,1347,1251,1252,1221,1240,1150,1245,2003,2049,1573,1686,9285,0.467122793,10592,0.532877207,214,0.010766212,5235,0.263369709,13969,0.702772021,179,0.009005383,280,0.014086633,4746,0.238768429,3323,0.167178139,18154,0.913316905,0.858548045
07,2017-18,19875,1779,1186,1209,1295,1290,1245,1241,1073,1217,1149,1963,1979,1616,1633,9367,0.471295595,10508,0.528704405,213,0.010716981,5336,0.268477976,13817,0.69519496,214,0.010767296,295,0.014842767,4602,0.231547177,3282,0.165132076,18214,0.916427672,0.916258812
08,2013-14,30453,1975,2262,2462,2296,2249,2042,2139,2113,2142,2242,2489,2163,1758,2121,14993,0.492332458,15460,0.507667542,1467,0.048172593,7443,0.244409412,19355,0.635569572,333,0.010934883,1855,0.06091354,6671,0.219058871,3424,0.112435557,24391,0.800939143,
08,2014-15,30166,2171,2367,2355,2286,2234,2286,2024,2028,2099,2162,2374,2201,1667,1912,14706,0.487502486,15460,0.512497485,1537,0.050951403,7182,0.238082603,19056,0.631704569,373,0.012364914,2018,0.066896506,6899,0.228701189,3586,0.118875556,23923,0.793045163,0.749797046
08,2015-16,29783,2127,2204,2396,2255,2211,2240,2251,1896,2057,2124,2414,2089,1708,1811,14428,0.484437436,15355,0.515562594,1591,0.053419735,6885,0.231172144,19097,0.641204715,372,0.012490347,1838,0.061713059,7001,0.23506698,3524,0.118322536,23152,0.777356207,0.744486511
08,2016-17,29349,2066,2042,2252,2289,2190,2218,2230,2161,1911,2082,2191,2101,1712,1904,14276,0.486422032,15073,0.513577998,1682,0.057310302,6602,0.224948034,18827,0.641486943,446,0.01519643,1792,0.061058298,6953,0.236907557,3823,0.130259976,22891,0.779958427,0.737244487
08,2017-18,28728,2077,1981,2063,2183,2210,2142,2208,2112,2160,1942,2035,1946,1794,1875,13977,0.486528814,14751,0.513471186,1703,0.059280146,6307,0.219541907,18504,0.644110262,448,0.015594542,1766,0.061473127,6655,0.231655523,3899,0.135721251,23814,0.828947365,0.821014225
09,2013-14,36813,1898,3060,3192,3132,3023,2781,2638,2807,2880,2921,2382,2360,2027,1712,18064,0.490696222,18749,0.509303808,484,0.013147529,11216,0.304674983,24525,0.66620487,271,0.00736153,317,0.008611089,7347,0.199576244,8435,0.229131013,33772,0.917393327,
09,2014-15,37312,2464,3005,3128,3132,3001,2902,2675,2723,2861,2834,2420,2284,2038,1845,18182,0.487296313,19130,0.512703717,539,0.014445755,11207,0.30035913,24841,0.665764391,266,0.007129074,459,0.012301672,7620,0.204223841,8195,0.219634429,33824,0.906517982,0.869587421
09,2015-16,37439,2766,3013,3045,2994,3010,2945,2812,2668,2750,2848,2474,2278,1967,1869,18375,0.490798354,19064,0.509201646,521,0.01391597,11007,0.293998241,25209,0.673335314,281,0.007505542,421,0.011244958,7899,0.210983202,8251,0.220385164,33595,0.897326291,0.86777246
09,2016-17,36433,2614,2792,3034,2927,2856,2865,2820,2714,2625,2743,2384,2292,1901,1866,17848,0.489885539,18585,0.510114431,524,0.014382565,10410,0.285729975,24772,0.679933012,291,0.007987265,436,0.011967173,7901,0.216863826,8477,0.232673675,32386,0.888919413,0.866143167
09,2017-18,35271,2521,2638,2733,2826,2785,2772,2718,2707,2659,2654,2425,2208,1839,1786,17354,0.492018938,17917,0.507981062,525,0.014884749,9808,0.278075486,24187,0.685747504,288,0.008165348,463,0.013126931,7624,0.216154918,8076,0.228969976,32338,0.916843891,0.925069392
10,2013-14,57339,2210,4456,4778,4550,4270,4113,4013,3714,3673,4005,4932,4639,3845,4141,28119,0.490399212,29220,0.509600818,4323,0.075393714,10217,0.17818588,38804,0.676747084,667,0.011632571,3328,0.058040775,10895,0.190010294,11724,0.204468161,47430,0.82718569,
10,2014-15,57714,3032,4566,4641,4516,4443,4264,4075,3758,3716,3747,4870,4481,3731,3874,28202,0.488650948,29512,0.511349082,4299,0.074487992,9852,0.170703813,39242,0.679939032,782,0.013549572,3539,0.061319612,11244,0.194822744,11537,0.19989951,47168,0.817271352,0.770180702
10,2015-16,57738,3652,4260,4648,4574,4407,4401,4134,3713,3734,3704,4666,4343,3756,3746,28143,0.487425953,29595,0.512574017,4216,0.073019505,9546,0.165333062,39707,0.687709987,934,0.016176522,3335,0.05776092,11486,0.19893311,11003,0.190567732,46779,0.810194314,0.766177416
