District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
16,2011-12,10354,972,751,809,783,758,774,761,675,684,632,594,644,763,754,4933,0.476434231,5421,0.523565769,124,0.011976048,8393,0.810604572,1642,0.158586055,96,0.009271779,99,0.009561522,2118,0.204558626,397,0.03834267,8883,0.857929289
16,2012-13,9634,864,662,792,736,759,751,706,569,645,665,533,549,544,859,4581,0.475503415,5053,0.524496555,131,0.013597675,7728,0.802159011,1605,0.166597471,75,0.007784928,95,0.00986091,2028,0.210504457,408,0.042350009,8525,0.884886861
16,2013-14,9063,889,660,690,727,705,700,605,522,549,641,538,543,480,814,4328,0.477546066,4735,0.522453904,137,0.015116408,7208,0.795321643,1535,0.169369966,79,0.00871676,104,0.011475229,2060,0.227297798,380,0.04192872,8114,0.895288527
16,2014-15,8314,817,643,604,622,668,644,588,426,514,511,552,511,482,732,3967,0.477146983,4347,0.522853017,140,0.016839067,6496,0.781332672,1476,0.177531868,99,0.011907626,103,0.012388742,1939,0.233221069,378,0.045465481,7227,0.869256675
16,2015-16,7687,805,527,596,578,606,616,567,382,403,490,523,521,476,597,3633,0.472616106,4054,0.527383924,117,0.015220502,5916,0.769611061,1425,0.185377911,109,0.014179784,120,0.015610771,1771,0.230388969,317,0.041238453,6574,0.855210066
17,2011-12,27353,1634,1705,1862,1850,1905,1856,1755,2041,2098,2124,2369,2485,1801,1868,14088,0.515044034,13265,0.484955937,583,0.021313932,22387,0.818447709,3374,0.12335027,256,0.009359119,753,0.027528973,3729,0.136328742,2598,0.094980441,23714,0.866961598
17,2012-13,26500,1714,1655,1846,1747,1710,1773,1637,1931,2015,2094,2401,2402,1785,1790,13467,0.508188665,13033,0.491811335,573,0.021622641,21386,0.807018876,3398,0.128226414,372,0.014037736,771,0.02909434,3844,0.145056605,2585,0.097547174,23421,0.883811295
17,2013-14,25604,1782,1531,1750,1759,1672,1564,1571,1725,1914,1955,2203,2387,1911,1880,12957,0.506053746,12647,0.493946254,581,0.022691768,20481,0.799914062,3422,0.133650988,419,0.01636463,701,0.027378535,4017,0.156889543,2502,0.097719103,22575,0.881698191
17,2014-15,25523,2310,1549,1559,1659,1641,1598,1399,1687,1784,1903,2254,2210,1959,2011,12773,0.500450552,12750,0.499549419,599,0.023469027,20095,0.787329078,3574,0.140030563,477,0.018689025,778,0.030482311,4156,0.162833527,2382,0.093327589,22045,0.863730729
17,2015-16,24497,2359,1448,1540,1494,1540,1566,1423,1466,1702,1778,2095,2229,1754,2103,12252,0.500142872,12245,0.499857128,607,0.024778545,18923,0.772461951,3656,0.149242759,512,0.020900518,799,0.032616239,3909,0.15957056,2258,0.092174552,20361,0.831162989
